node,lon,lat
212,-91.15,30.339193000000005
213,-91.149168,30.337590000000002
214,-91.143746,30.326018
215,-91.145836,30.326954
216,-91.141753,30.324713
217,-91.140062,30.323192
218,-91.140463,30.320934
219,-91.143556,30.323888999999998
220,-91.139566,30.318745000000003
221,-91.13803,30.317468000000005
222,-91.238791,30.38055
223,-91.235871,30.381219000000005
224,-91.232998,30.381871
225,-91.23082700000002,30.381052
226,-91.229018,30.382644000000003
227,-91.226724,30.381769
228,-91.222807,30.382397
229,-91.22446200000002,30.381221
230,-91.220707,30.381117000000003
231,-91.158589,30.347692
232,-91.15782,30.345120999999995
233,-91.151934,30.340046
234,-91.154249,30.341579
235,-91.156972,30.342473
236,-91.146541,30.329248
237,-91.147335,30.331433
238,-91.147867,30.333378
239,-91.149308,30.335211000000005
240,-91.151514,30.337101
241,-91.148044,30.327897999999998
242,-91.145333,30.324628
243,-91.147176,30.325551
244,-91.142423,30.321985
245,-91.141982,30.319398000000003
246,-91.14484,30.322227000000005
247,-91.14162600000002,30.316855000000004
248,-91.139748,30.315638
249,-91.240136,30.378443
250,-91.23741,30.379295
251,-91.234703,30.380054000000005
252,-91.232765,30.379271
253,-91.230683,30.378841000000005
254,-91.228384,30.379738
255,-91.22552,30.379365999999997
256,-91.222496,30.379314000000004
257,-91.161022,30.348346999999997
258,-91.16027,30.345846
259,-91.159511,30.343305000000004
260,-91.15394,30.338537
261,-91.156318,30.339787
262,-91.158799,30.340746
263,-91.14906,30.330197999999996
264,-91.15007700000001,30.332498
265,-91.151746,30.334272
266,-91.153837,30.335662
267,-91.150778,30.328177999999998
268,-91.149707,30.325929999999996
269,-91.146734,30.323076000000004
270,-91.148759,30.323993000000005
271,-91.14435700000001,30.319954
272,-91.143608,30.317826
273,-91.146876,30.320662
274,-91.143814,30.315505
275,-91.141669,30.314023000000002
276,-91.24144600000001,30.376311999999995
277,-91.238744,30.377177999999997
278,-91.23617,30.378105
279,-91.23442,30.377060000000004
280,-91.232102,30.376988999999995
281,-91.229465,30.377137
282,-91.226863,30.37732
283,-91.223998,30.377264999999998
284,-91.16342100000001,30.349117000000003
285,-91.162717,30.346570999999997
286,-91.161978,30.344054
287,-91.16125,30.341542
288,-91.156023,30.336906
289,-91.158209,30.338149000000005
290,-91.160548,30.339039
291,-91.152002,30.330522
292,-91.153422,30.333092000000004
293,-91.155423,30.334839000000002
294,-91.153484,30.328368
295,-91.152234,30.326076999999998
296,-91.150984,30.323840000000004
297,-91.149373,30.321645
298,-91.146058,30.317618
299,-91.148639,30.318976999999997
300,-91.146033,30.314565
301,-91.14366,30.312680000000004
302,-91.242759,30.374183000000002
303,-91.239818,30.374603
304,-91.23751,30.37599
305,-91.23567,30.374924
306,-91.23349,30.374996000000003
307,-91.230882,30.374982
308,-91.228184,30.375096
309,-91.225399,30.375143999999995
310,-91.165806,30.349926999999997
311,-91.168184,30.350760000000005
312,-91.170571,30.351564000000003
313,-91.165144,30.347311999999995
314,-91.164421,30.344765000000002
315,-91.16368,30.342270000000003
316,-91.162953,30.339771999999996
317,-91.157545,30.335601
318,-91.159774,30.336647
319,-91.161995,30.337344
320,-91.15493,30.330670999999995
321,-91.156688,30.333025
322,-91.15605300000001,30.328414
323,-91.154795,30.326214
324,-91.153603,30.323955999999995
325,-91.152388,30.321727999999997
326,-91.15142200000001,30.319472
327,-91.148461,30.316146
328,-91.150732,30.317582
329,-91.148327,30.313485
330,-91.14581,30.311720000000005
331,-91.241706,30.37304
332,-91.243968,30.371995000000002
333,-91.23959,30.372028000000004
334,-91.237581,30.373586
335,-91.235059,30.372914
336,-91.232377,30.372880000000002
337,-91.229647,30.372981
338,-91.22687,30.373071
339,-91.173004,30.352217000000003
340,-91.167569,30.348053
341,-91.170045,30.348783999999995
342,-91.172641,30.349392
343,-91.166853,30.345444
344,-91.166125,30.342934
345,-91.165358,30.340505999999998
346,-91.164259,30.337916
347,-91.159217,30.334252000000003
348,-91.161069,30.335258
349,-91.163033,30.335452000000004
350,-91.157603,30.330344
351,-91.159052,30.331977000000002
352,-91.158255,30.328256000000003
353,-91.15726300000001,30.326325
354,-91.15618400000001,30.324094000000002
355,-91.155084,30.321811999999998
