,lon,lat
149327,-87.9509659902,30.802794410500002
701071,-81.1548854209,32.4557991912
1528717,-74.40999961979999,39.4630668613
1503180,-74.2088596198,39.743997822
627014,-82.78259765,28.31755351
1669188,-76.1224726542,37.0453950118
128130,-89.649369,30.417723
544915,-83.10529286,29.32495706
1251362,-81.216538,29.639114000000006
1523641,-77.6122115772,33.8505388504
504900,-85.66909653,30.12370252
621119,-82.78246127,27.917312300000006
1687032,-76.3029308683,37.229505273499996
340578,-97.51061723629999,25.968476853800002
1546183,-75.8377969652,39.5436027988
1075254,-70.95969965569999,42.3728973217
1290661,-80.03123123510001,25.7385562069
1222495,-70.25872793229999,43.587637373599996
727631,-81.36165524270001,24.896314373899997
1067260,-80.22301701,26.0088201
865117,-72.9679010909,41.1474207373
1631235,-75.2059892346,36.8078909485
1109474,-80.47008285,27.54462411
1788147,-91.553493,29.972514000000004
686342,-81.2692497,25.877875440000004
356992,-88.0694485984,30.436184481300007
32861,-91.714704,30.415679000000004
593509,-96.1276424548,27.968740297199997
202870,-91.909075,30.061965999999998
245186,-89.75845200000002,29.912296000000005
1006944,-59.99691090899999,9.942379153400001
131073,-91.29543100000001,29.844507
1541416,-75.68205822590001,35.1400255148
307638,-94.2922883285,29.732158331700006
66646,-90.420186,30.266941999999997
126753,-88.689493,30.905518
1452751,-73.8709866356,40.586574481199996
1065968,-81.1404212014,29.215126217500003
950490,-73.7649718859,40.7973777339
935348,-72.8969758213,41.0545096282
447894,-89.522239,29.446214000000005
1369014,-75.5474150855,39.5959648634
708768,-86.7634749356,24.1410742519
387161,-81.94777057,26.97685849
1291729,-64.9589976435,18.402859489
649130,-78.5089477579,34.5813351075
1620285,-74.4854913486,37.1378498611
1586221,-75.6545812533,37.721828594
254462,-84.31938358,30.31061295
751980,-80.80720235,25.23101539
1077848,-81.4524205789,29.7096793032
443155,-89.92078000000001,29.605615999999998
1532731,-74.343492282,39.5323136801
388780,-91.576877,29.801037
762654,-81.6981308953,29.362560708
606471,-85.25963357399999,29.639118242
278783,-92.510026,30.113451000000005
662656,-81.07042541,25.32505456
1548356,-77.1674521364,33.6790151246
1381630,-75.0108962575,39.2697115775
458027,-96.87952398639999,28.023821387199998
540407,-82.05470386,26.83747445
534680,-92.389146,29.629771
1204298,-76.9233767905,34.8624567723
209510,-97.4606574477,26.1475796583
945044,-79.2784344817,17.3349123367
511990,-82.65382547,28.19749055
455956,-83.73624081,29.99269137
251083,-89.530002,30.203163
230805,-97.54506241770001,27.275426150100003
59867,-90.051467,29.934914000000003
885069,-81.0580533,28.75073598
632429,-82.89677292020001,28.862220650900003
1699544,-75.9575307869,37.4193407352
1760465,-76.9215568976,38.3218238647
1495602,-75.0800487129,39.0516221513
881910,-77.9976053548,18.0434841824
972609,-81.4731402635,31.2345186152
1363508,-66.22623984270001,44.018352030500004
1157477,-80.0028374022,32.757385052
1348591,-72.4648086864,40.9724958153
830502,-81.6901909477,30.275384060700002
210958,-94.8613371239,29.580514882400003
1062471,-65.9025059616,18.000914392700004
1149702,-70.8523410703,42.861653255
1354455,-71.3785696465,41.422162787
1773829,-89.99306999999999,29.939400000000006
770148,-80.02171579649999,33.1371603849
604213,-89.149393,29.241159999999997
577076,-90.770973,29.334006
1312732,-76.8664411881,34.8104424282
1131737,-77.1893959557,34.851472343000005
